"place","elevation"
"Binningen, Margarethengut",306.2
"Bretzwil, Hofgut Hinterberg",698.3
"Flawil, Mattenhof",612.7
"Gampelen, Pitt+Käch",431.8
"Landquart, Plantahof",529.4
"Les Reusilles, Gerber",1058.8
"Muri AG, Malurahof",570.8
"Olsberg, Maiacker",399.4
"Roggliswil, Honig",626.7
"Salez, Rheinhof",436.4
"Yvonand, ProConseil",436.4
"Abtwil AG, Lärchenhof",549.5
"Anwil, Schaffner",615.1
"Benken, Escherheim",414.3
"Carrouge, Bourgeois",690
"Posieux, Agroscope (Coral & Fenlon)",638.8
"Rudolfstetten, Burgerhof",613.8
"Salenstein, Arenenberg",459.5
"Sorens, Agroscope (Coral & Fenlon)",827.4
"Strickhof, Flaach",345.3
